,value
comprehensiveIncomeNetOfTax,56505000000
costOfRevenue,163756000000
costofGoodsAndServicesSold,163756000000
depreciation,9300000000
depreciationAndAmortization,10903000000
ebit,76143000000
ebitda,87046000000
fiscalDateEnding,2018-09-30
grossProfit,101839000000
incomeBeforeTax,72903000000
incomeTaxExpense,13372000000
interestAndDebtExpense,3240000000
interestExpense,3240000000
interestIncome,5686000000
investmentIncomeNet,5686000000
netIncome,59531000000
netIncomeFromContinuingOperations,59531000000
netInterestIncome,-3240000000
nonInterestIncome,265595000000
operatingExpenses,30941000000
operatingIncome,70898000000
otherNonOperatingIncome,-441000000
reportedCurrency,USD
researchAndDevelopment,14236000000
sellingGeneralAndAdministrative,16705000000
totalRevenue,265595000000
